# n              bubble       counting       insertion      selection      std            qsort          hsI            hsR            qsR            qsI            mergesortR
160000         31.203513      0.004821       2.746885       5.836749       0.008705       0.016257       0.017514       0.031324       0.011396       0.009736       0.014556
80000          7.872198       0.003732       0.719586       1.488308       0.004080       0.007723       0.008093       0.013916       0.005488       0.004576       0.006777
40000          1.849943       0.003115       0.171968       0.355462       0.001934       0.003888       0.004532       0.007153       0.002722       0.002256       0.003294
20000          0.433310       0.002759       0.044234       0.090490       0.000892       0.002022       0.001913       0.003248       0.001322       0.001047       0.001562
10000          0.097116       0.002736       0.012195       0.022584       0.000417       0.000951       0.001447       0.001704       0.000592       0.000497       0.000705
